id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
3290,Neptune-like,2014,14.7 Earths,0.352 x Jupiter,0.14 AU,20.5 days,0.0,
3291,Neptune-like,2014,9.38 Earths,0.269 x Jupiter,0.066 AU,6.3 days,0.0,
3292,Neptune-like,2014,15.6 Earths,0.363 x Jupiter,0.123 AU,16.2 days,0.0,
3293,Super Earth,2014,1.32 Earths,1.09 x Earth,0.035 AU,3.3 days,0.0,
3294,Super Earth,2014,2.89 Earths,1.51 x Earth,0.058 AU,7.1 days,0.0,
3295,Super Earth,2014,3.09 Earths,1.57 x Earth,0.097 AU,15.4 days,0.0,
3296,Neptune-like,2011,1.6 Jupiters,0.214 x Jupiter,0.08 AU,8.1 days,0.0,
3297,Neptune-like,2011,1.6 Jupiters,0.25 x Jupiter,0.106 AU,12.3 days,0.0,
3298,Super Earth,2014,3.43 Earths,1.67 x Earth,0.051 AU,4.2 days,0.0,
3299,Neptune-like,2014,8.15 Earths,0.248 x Jupiter,0.138 AU,19 days,0.0,
3300,Super Earth,2014,1.51 Earths,1.13 x Earth,0.048 AU,4.1 days,0.0,
3301,Neptune-like,2014,5.82 Earths,0.203 x Jupiter,0.069 AU,7.2 days,0.0,
3302,Neptune-like,2014,5.39 Earths,2.18 x Earth,0.127 AU,17.6 days,0.0,
3303,Super Earth,2014,2.33 Earths,1.33 x Earth,0.053 AU,4.8 days,0.0,
3304,Neptune-like,2014,8.1 Earths,0.247 x Jupiter,0.122 AU,16.5 days,0.0,
3305,Neptune-like,2014,8.1 Earths,0.247 x Jupiter,0.182 AU,30.1 days,0.0,
3306,Neptune-like,2014,8.1 Earths,0.247 x Jupiter,0.404 AU,99.6 days,0.0,
3307,Super Earth,2014,2.04 Earths,1.23 x Earth,0.058 AU,6.7 days,0.0,
3308,Neptune-like,2014,5.27 Earths,2.15 x Earth,0.08 AU,10.8 days,0.0,
3309,Super Earth,2014,3.29 Earths,1.63 x Earth,0.046 AU,3.8 days,0.0,
3310,Neptune-like,2014,7.51 Earths,0.236 x Jupiter,0.089 AU,10.3 days,0.0,
3311,Neptune-like,2014,10.2 Earths,0.283 x Jupiter,0.13 AU,18.1 days,0.0,
3312,Neptune-like,2014,14.3 Earths,0.345 x Jupiter,0.064 AU,5.8 days,0.0,
3313,Neptune-like,2014,3.2 Earths,2.15 x Earth,0.105 AU,12.4 days,0.0,
3314,Neptune-like,2014,6.8 Earths,0.223 x Jupiter,0.139 AU,18.7 days,0.0,
3315,Super Earth,2014,3.02 Earths,1.55 x Earth,0.063 AU,5.7 days,0.0,
3316,Neptune-like,2014,9.22 Earths,0.267 x Jupiter,0.092 AU,9.9 days,0.0,
3317,Super Earth,2016,2.3 Earths,1.32 x Earth,0.0192 AU,1 days,0.0,
3318,Super Earth,2014,3.15 Earths,1.59 x Earth,0.027 AU,1.6 days,0.0,
3319,Neptune-like,2014,5.27 Earths,2.15 x Earth,0.045 AU,3.4 days,0.0,
3320,Neptune-like,2014,6.71 Earths,0.221 x Jupiter,0.064 AU,5.8 days,0.0,
3321,Neptune-like,2014,6.12 Earths,0.21 x Jupiter,0.096 AU,10.7 days,0.0,
3322,Neptune-like,2014,7.32 Earths,0.233 x Jupiter,0.034 AU,2.4 days,0.0,
3323,Neptune-like,2014,25.2 Earths,0.483 x Jupiter,0.066 AU,6.6 days,0.0,
3324,Neptune-like,2014,21.7 Earths,0.442 x Jupiter,0.16 AU,24.7 days,0.0,
3325,Neptune-like,2014,15.5 Earths,0.362 x Jupiter,0.103 AU,13.2 days,0.0,
3326,Neptune-like,2014,12.7 Earths,0.322 x Jupiter,0.193 AU,33.7 days,0.0,
3327,Neptune-like,2014,8.25 Earths,0.25 x Jupiter,0.079 AU,8.1 days,0.0,
3328,Neptune-like,2014,7.75 Earths,0.241 x Jupiter,0.217 AU,36.9 days,0.0,
3329,Neptune-like,2011,8.7 Earths,0.245 x Jupiter,0.0685 AU,6.2 days,0.0,
3330,Neptune-like,2011,15.2 Earths,0.465 x Jupiter,0.1101 AU,12.7 days,0.01,
3331,Gas Giant,2014,0.226 Jupiters,0.894 x Jupiter,Unknown,122.4 days,0.13,
3332,Super Earth,2014,4.7 Earths,2.01 x Earth,0.075 AU,8.2 days,0.0,
3333,Super Earth,2014,3.68 Earths,1.74 x Earth,0.332 AU,76.1 days,0.0,
3334,Neptune-like,2014,5.39 Earths,2.18 x Earth,0.088 AU,10.4 days,0.0,
3335,Super Earth,2014,4.66 Earths,2.0 x Earth,0.156 AU,24.6 days,0.0,
3336,Super Earth,2014,2.42 Earths,1.36 x Earth,0.108 AU,13.1 days,0.0,
3337,Super Earth,2014,3.33 Earths,1.64 x Earth,0.152 AU,21.9 days,0.0,
3338,Neptune-like,2014,7.61 Earths,0.238 x Jupiter,0.12 AU,16.6 days,0.0,
3339,Neptune-like,2014,6.66 Earths,0.22 x Jupiter,0.242 AU,47.3 days,0.0,
3340,Neptune-like,2014,11.1 Earths,0.297 x Jupiter,0.249 AU,40.8 days,0.0,
3341,Neptune-like,2014,8.4 Earths,0.252 x Jupiter,0.566 AU,140.1 days,0.0,
3342,Super Earth,2014,4.12 Earths,1.86 x Earth,0.069 AU,6.8 days,0.0,
3343,Neptune-like,2014,7.41 Earths,0.235 x Jupiter,0.127 AU,17 days,0.0,
3344,Neptune-like,2014,6.76 Earths,0.222 x Jupiter,0.236 AU,43.1 days,0.0,
3345,Neptune-like,2014,7.22 Earths,0.231 x Jupiter,0.319 AU,67.8 days,0.0,
3346,Neptune-like,2014,6.71 Earths,0.221 x Jupiter,0.071 AU,6.6 days,0.0,
3347,Neptune-like,2014,14.4 Earths,0.347 x Jupiter,0.457 AU,107.7 days,0.0,
3348,Super Earth,2014,37.9 Earths,1.98 x Earth,0.037 AU,3.4 days,0.0,
3349,Neptune-like,2014,5.18 Earths,2.13 x Earth,0.06 AU,6.9 days,0.0,
3350,Neptune-like,2014,5.77 Earths,0.203 x Jupiter,0.154 AU,28.5 days,0.0,
3351,Neptune-like,2014,7.04 Earths,0.227 x Jupiter,0.18 AU,25.9 days,0.0,
3352,Neptune-like,2014,11.4 Earths,0.302 x Jupiter,0.391 AU,83.4 days,0.0,
3353,Neptune-like,2014,6.66 Earths,0.22 x Jupiter,0.061 AU,5.3 days,0.0,
3354,Super Earth,2014,3.5 Earths,1.69 x Earth,0.081 AU,8.1 days,0.0,
3355,Neptune-like,2011,5.12 Earths,0.248 x Jupiter,0.08551 AU,12.3 days,0.0,
3356,Neptune-like,2011,6.2 Earths,0.243 x Jupiter,0.10725 AU,17.3 days,0.0,
3357,Super Earth,2014,1.24 Earths,1.07 x Earth,0.039 AU,3.5 days,0.0,
3358,Neptune-like,2014,6.39 Earths,0.215 x Jupiter,0.22 AU,46.8 days,0.0,
3359,Super Earth,2014,4.7 Earths,2.01 x Earth,0.107 AU,11.5 days,0.0,
3360,Super Earth,2014,3.78 Earths,1.77 x Earth,0.18 AU,25.3 days,0.0,
3361,Super Earth,2014,2.04 Earths,1.23 x Earth,0.0881 AU,10.4 days,0.0,
3362,Terrestrial,2014,0.809 Earths,0.95 x Earth,0.0702 AU,7.4 days,0.0,
3363,Terrestrial,2016,0.219 Earths,0.66 x Earth,0.0558 AU,5.2 days,0.0,
3364,Super Earth,2014,0.245 Jupiters,1.43 x Earth,0.038 AU,3 days,0.0,
3365,Super Earth,2014,0.308 Jupiters,1.79 x Earth,0.061 AU,6.1 days,0.0,
3366,Neptune-like,2014,5.69 Earths,0.201 x Jupiter,0.091 AU,10.9 days,0.0,
3367,Super Earth,2014,2.86 Earths,1.5 x Earth,0.037 AU,2.9 days,0.0,
3368,Super Earth,2014,4.58 Earths,1.98 x Earth,0.073 AU,8 days,0.0,
3369,Super Earth,2014,2.99 Earths,1.54 x Earth,0.101 AU,11.6 days,0.0,
3370,Super Earth,2014,4.04 Earths,1.84 x Earth,0.204 AU,33.2 days,0.0,
3371,Neptune-like,2014,6.08 Earths,0.209 x Jupiter,0.098 AU,10.3 days,0.0,
3372,Neptune-like,2014,11.4 Earths,0.302 x Jupiter,0.132 AU,16.1 days,0.0,
3373,Neptune-like,2014,11.1 Earths,0.297 x Jupiter,0.224 AU,35.7 days,0.0,
3374,Neptune-like,2014,8.6 Earths,0.256 x Jupiter,0.119 AU,14.1 days,0.0,
3375,Super Earth,2013,16.6 Earths,0.259 x Jupiter,0.1994 AU,31.9 days,0.0,
3376,Super Earth,2013,16.3 Earths,0.25 x Jupiter,0.2642 AU,48.6 days,0.0,
3377,Gas Giant,2013,0.275 Jupiters,0.261 x Jupiter,0.1385 AU,17.3 days,0.0,
3378,Gas Giant,2013,0.202 Jupiters,0.3 x Jupiter,0.2129 AU,33 days,0.0,
3379,Neptune-like,2014,15.6 Earths,0.363 x Jupiter,0.207 AU,30.2 days,0.04,
3380,Neptune-like,2014,12.6 Earths,0.32 x Jupiter,0.294 AU,51.1 days,0.51,
3381,Neptune-like,2014,12.8 Earths,0.323 x Jupiter,0.112 AU,12.3 days,0.0,
3382,Gas Giant,2013,0.155 Jupiters,0.384 x Jupiter,0.2236 AU,35.7 days,0.0,
3383,Neptune-like,2013,37.5 Earths,0.277 x Jupiter,0.2901 AU,54.4 days,0.0,
3384,Gas Giant,2011,9.11 Jupiters,0.357 x Jupiter,0.118 AU,15.3 days,0.0,
3385,Gas Giant,2011,13.8 Jupiters,0.437 x Jupiter,0.191 AU,31.3 days,0.0,
3386,Neptune-like,2021,7.78 Earths,0.241 x Jupiter,0.0668 AU,6.5 days,0.0,
3387,Super Earth,2014,2.7 Earths,1.45 x Earth,0.032 AU,2.1 days,0.0,
3388,Super Earth,2014,4.7 Earths,2.01 x Earth,0.056 AU,4.8 days,0.0,
3389,Neptune-like,2014,8.35 Earths,0.252 x Jupiter,0.117 AU,14.6 days,0.0,
3390,Neptune-like,2014,24.4 Earths,0.474 x Jupiter,0.215 AU,36.3 days,0.0,
3391,Neptune-like,2021,29.5 Earths,0.53 x Jupiter,0.5456 AU,148.3 days,0.0,
3392,Super Earth,2014,1.01 Earths,1.01 x Earth,0.082 AU,9.2 days,0.0,
3393,Super Earth,2014,1.87 Earths,1.2 x Earth,0.106 AU,13.6 days,0.0,
3394,Super Earth,2013,0.192 Jupiters,0.219 x Jupiter,0.154 AU,24.8 days,0.0,
3395,Gas Giant,2013,0.177 Jupiters,0.277 x Jupiter,0.2269 AU,44.3 days,0.0,
3396,Neptune-like,2014,5.18 Earths,2.13 x Earth,0.082 AU,11 days,0.0,
3397,Super Earth,2014,3.97 Earths,1.82 x Earth,0.341 AU,92.7 days,0.0,
3398,Neptune-like,2014,5.65 Earths,0.2 x Jupiter,0.104 AU,12.7 days,0.0,
3399,Neptune-like,2014,7.32 Earths,0.233 x Jupiter,0.213 AU,37.5 days,0.0,
3400,Super Earth,2014,2.36 Earths,1.34 x Earth,0.036 AU,2.6 days,0.0,
3401,Super Earth,2014,1.46 Earths,1.12 x Earth,0.064 AU,6.2 days,0.0,
3402,Super Earth,2014,2.07 Earths,1.24 x Earth,0.027 AU,1.8 days,0.0,
3403,Super Earth,2014,2.45 Earths,1.37 x Earth,0.042 AU,3.5 days,0.0,
3404,Super Earth,2014,2.33 Earths,1.33 x Earth,0.061 AU,5.9 days,0.0,
3405,Super Earth,2014,3.78 Earths,1.77 x Earth,0.176 AU,29.2 days,0.0,
3406,Neptune-like,2014,6.04 Earths,0.208 x Jupiter,0.145 AU,20.3 days,0.0,
3407,Neptune-like,2014,10.7 Earths,0.291 x Jupiter,0.246 AU,44.9 days,0.0,
3408,Super Earth,2014,3.43 Earths,1.67 x Earth,0.065 AU,6.1 days,0.0,
3409,Neptune-like,2014,8.5 Earths,0.254 x Jupiter,0.14 AU,19.3 days,0.0,
3410,Neptune-like,2014,7.61 Earths,0.238 x Jupiter,0.287 AU,56.6 days,0.0,
3411,Super Earth,2014,7.3 Earths,2.15 x Earth,0.21 AU,34.5 days,0.0,
3412,Gas Giant,2014,0.42 Jupiters,1.034 x Jupiter,0.51 AU,125.9 days,0.0,
3413,Neptune-like,2014,4 Earths,0.239 x Jupiter,0.33 AU,66.1 days,0.0,
3414,Neptune-like,2011,1.51 Jupiters,0.321 x Jupiter,0.062 AU,5.9 days,0.0,
3415,Neptune-like,2011,1.36 Jupiters,0.303 x Jupiter,0.081 AU,9 days,0.0,
3416,Neptune-like,2014,5.69 Earths,0.201 x Jupiter,0.11 AU,14.6 days,0.0,
3417,Neptune-like,2014,7.75 Earths,0.241 x Jupiter,0.205 AU,36.8 days,0.0,
3418,Terrestrial,2023,0.566 Earths,0.86 x Earth,0.0154 AU,0.8 days,0.0,
3419,Neptune-like,2014,5.31 Earths,2.16 x Earth,0.047 AU,3.5 days,0.0,
3420,Super Earth,2014,4.19 Earths,1.88 x Earth,0.065 AU,5.7 days,0.0,
3421,Super Earth,2014,2.3 Earths,1.32 x Earth,0.035 AU,2.6 days,0.0,
3422,Super Earth,2014,2.76 Earths,1.47 x Earth,0.045 AU,3.7 days,0.0,
3423,Neptune-like,2014,5.6 Earths,2.23 x Earth,0.068 AU,7.1 days,0.0,
3424,Neptune-like,2014,7.61 Earths,0.238 x Jupiter,0.097 AU,12 days,0.0,
3425,Neptune-like,2014,6.12 Earths,0.21 x Jupiter,0.141 AU,20.8 days,0.0,
3426,Neptune-like,2014,9.64 Earths,0.274 x Jupiter,0.144 AU,19.3 days,0.0,
3427,Neptune-like,2014,14 Earths,0.342 x Jupiter,0.286 AU,54.2 days,0.0,
3428,Super Earth,2014,3.78 Earths,1.77 x Earth,0.048 AU,3.7 days,0.0,
3429,Neptune-like,2014,7.8 Earths,0.242 x Jupiter,0.071 AU,6.6 days,0.0,
3430,Super Earth,2014,1.98 Earths,1.22 x Earth,0.099 AU,12.6 days,0.0,
3431,Super Earth,2014,1.71 Earths,1.17 x Earth,0.142 AU,21.5 days,0.0,
3432,Super Earth,2014,2.42 Earths,1.36 x Earth,0.192 AU,33.9 days,0.0,
3433,Super Earth,2014,3.22 Earths,1.61 x Earth,0.079 AU,10.9 days,< 0.33,
3434,Neptune-like,2014,4.66 Earths,2.0 x Earth,0.0521 AU,5.8 days,< 0.33,
3435,Neptune-like,2014,5.02 Earths,2.09 x Earth,0.118 AU,19.9 days,< 0.33,
3436,Super Earth,2014,2.96 Earths,1.53 x Earth,0.169 AU,34.1 days,< 0.33,
3437,Super Earth,2014,3.89 Earths,1.8 x Earth,0.255 AU,63.3 days,< 0.33,
3438,Gas Giant,2014,0.153 Jupiters,0.256 x Jupiter,0.217 AU,38.9 days,0.0,
3439,Gas Giant,2014,0.132 Jupiters,0.583 x Jupiter,0.336 AU,74.9 days,0.0,
3440,Gas Giant,2023,282 Jupiters,0.635 x Jupiter,0.523 AU,150 days,0.0,
3441,Super Earth,2014,4.5 Earths,1.96 x Earth,0.08 AU,10.5 days,0.0,
3442,Super Earth,2014,4.38 Earths,1.93 x Earth,0.136 AU,22.9 days,0.0,
3443,Neptune-like,2014,6.8 Earths,0.223 x Jupiter,0.305 AU,77.5 days,0.0,
3444,Super Earth,2014,2.3 Earths,1.32 x Earth,0.04 AU,2.9 days,0.0,
3445,Neptune-like,2014,7.51 Earths,0.236 x Jupiter,0.07 AU,6.9 days,0.0,
3446,Super Earth,2014,4.12 Earths,1.86 x Earth,0.118 AU,15.1 days,0.0,
3447,Super Earth,2014,4.16 Earths,1.87 x Earth,0.22 AU,38.3 days,0.0,
3448,Neptune-like,2011,5 Earths,0.227 x Jupiter,0.0919 AU,10.3 days,0.0,
3449,Neptune-like,2011,4.5 Earths,0.209 x Jupiter,0.1087 AU,13.3 days,0.0,
3450,Super Earth,2014,3.43 Earths,1.67 x Earth,0.094 AU,10.4 days,0.0,
3451,Neptune-like,2014,5.69 Earths,0.201 x Jupiter,0.232 AU,40.7 days,0.0,
3452,Super Earth,2014,2.39 Earths,1.35 x Earth,0.036 AU,2.5 days,0.0,
3453,Super Earth,2014,2.39 Earths,1.35 x Earth,0.06 AU,5.4 days,0.0,
3454,Super Earth,2014,3.71 Earths,1.75 x Earth,0.112 AU,13.8 days,0.0,
3455,Neptune-like,2014,15.5 Earths,0.362 x Jupiter,0.193 AU,30.2 days,0.0,
3456,Gas Giant,2014,Unknown,1.111 x Jupiter,0.503 AU,127.3 days,0.0,
3457,Terrestrial,2014,0.64 Earths,0.89 x Earth,0.024 AU,1.9 days,0.0,
3458,Super Earth,2014,1.55 Earths,1.14 x Earth,0.057 AU,7.1 days,0.0,
3459,Neptune-like,2014,8.55 Earths,0.255 x Jupiter,0.039 AU,3.3 days,0.0,
3460,Neptune-like,2014,5.35 Earths,2.17 x Earth,0.054 AU,5.3 days,0.0,
3461,Neptune-like,2014,8 Earths,0.245 x Jupiter,0.08 AU,9.7 days,0.0,
3462,Super Earth,2016,1.87 Earths,1.2 x Earth,0.0232 AU,1.5 days,0.0,
3463,Neptune-like,2013,10.5 Earths,0.321 x Jupiter,0.0571 AU,5.5 days,0.0,
3464,Neptune-like,2013,6 Earths,0.294 x Jupiter,0.0752 AU,8.3 days,0.0,
3465,Neptune-like,2014,9.1 Earths,0.242 x Jupiter,0.121 AU,16.7 days,0.0,
3466,Super Earth,2020,3.87 Earths,1.794 x Earth,0.0399 AU,3.2 days,0.0,
3467,Super Earth,2014,2.92 Earths,1.52 x Earth,0.05 AU,4.6 days,0.0,
3468,Neptune-like,2014,6.12 Earths,0.21 x Jupiter,0.067 AU,7.2 days,0.0,
3469,Neptune-like,2014,6.66 Earths,0.22 x Jupiter,0.12 AU,17.3 days,0.0,
3470,Neptune-like,2014,5.77 Earths,0.203 x Jupiter,0.227 AU,44.8 days,0.0,
3471,Neptune-like,2013,7.44 Earths,0.217 x Jupiter,0.0917 AU,10.4 days,0.0,
3472,Neptune-like,2013,3.64 Earths,2.2 x Earth,0.1068 AU,13.1 days,0.0,
3473,Neptune-like,2014,5.14 Earths,2.12 x Earth,0.09 AU,9.7 days,0.0,
3474,Neptune-like,2014,5.31 Earths,2.16 x Earth,0.123 AU,15.4 days,0.0,
3475,Super Earth,2014,3.05 Earths,1.56 x Earth,0.059 AU,5.9 days,0.0,
3476,Neptune-like,2014,6.85 Earths,0.224 x Jupiter,0.401 AU,105.4 days,0.0,
3477,Neptune-like,2012,11.3 Earths,0.348 x Jupiter,0.18 AU,29.3 days,0.04,
3478,Gas Giant,2012,2.01 Jupiters,1.097 x Jupiter,0.3 AU,60.3 days,0.01,
3479,Neptune-like,2012,23.1 Earths,0.785 x Jupiter,0.5 AU,143.3 days,0.02,
3480,Super Earth,2014,1.81 Earths,1.19 x Earth,0.111 AU,13.9 days,0.0,
3481,Neptune-like,2014,11.4 Earths,0.302 x Jupiter,0.281 AU,56.5 days,0.0,
3482,Super Earth,2014,7 Earths,0.22 x Jupiter,0.392 AU,92.9 days,0.0,
3483,Super Earth,2014,3.53 Earths,1.7 x Earth,0.087 AU,9.2 days,0.0,
3484,Super Earth,2014,2.63 Earths,1.43 x Earth,0.145 AU,19.7 days,0.0,
3485,Super Earth,2023,4.86 Earths,2.05 x Earth,0.7326 AU,232 days,0.0,
3486,Super Earth,2014,2.21 Earths,1.29 x Earth,0.031 AU,1.8 days,0.0,
3487,Neptune-like,2014,10.1 Earths,0.281 x Jupiter,0.153 AU,19.7 days,0.0,
3488,Neptune-like,2014,6.94 Earths,0.226 x Jupiter,0.125 AU,15 days,0.0,
3489,Neptune-like,2014,7.13 Earths,0.229 x Jupiter,0.208 AU,32.3 days,0.0,
3490,Terrestrial,2014,0.498 Earths,0.83 x Earth,0.035 AU,2.5 days,0.0,
3491,Neptune-like,2014,8.75 Earths,0.259 x Jupiter,0.064 AU,6 days,0.0,
3492,Neptune-like,2014,13.7 Earths,0.336 x Jupiter,0.402 AU,96.1 days,0.0,
3493,Neptune-like,2014,16.1 Earths,0.37 x Jupiter,0.791 AU,265.5 days,0.0,
3494,Super Earth,2014,1.2 Earths,1.06 x Earth,0.027 AU,2.2 days,0.0,
3495,Super Earth,2014,1.65 Earths,1.16 x Earth,0.058 AU,6.8 days,0.0,
3496,Super Earth,2014,0.345 Jupiters,2.09 x Earth,0.061 AU,5.5 days,0.0,
3497,Super Earth,2014,3.61 Earths,1.72 x Earth,0.083 AU,8.8 days,0.0,
3498,Neptune-like,2014,19.9 Earths,0.42 x Jupiter,0.056 AU,4.7 days,0.0,
3499,Neptune-like,2014,13.1 Earths,0.328 x Jupiter,0.105 AU,11.8 days,0.0,
3500,Super Earth,2014,3.29 Earths,1.63 x Earth,0.051 AU,4.4 days,0.0,
3501,Neptune-like,2014,7.41 Earths,0.235 x Jupiter,0.069 AU,6.9 days,0.0,
3502,Neptune-like,2014,5.86 Earths,0.204 x Jupiter,0.191 AU,31.8 days,0.0,
3503,Neptune-like,2011,25.9 Earths,0.491 x Jupiter,0.16 AU,20.9 days,0.0,
3504,Gas Giant,2011,4.7 Jupiters,0.473 x Jupiter,0.26 AU,42.6 days,0.0,
3505,Gas Giant,2014,6.8 Jupiters,0.348 x Jupiter,0.4 AU,87.6 days,0.0,
3506,Super Earth,2014,1.55 Earths,1.14 x Earth,0.085 AU,8.4 days,0.0,
3507,Super Earth,2014,2.45 Earths,1.37 x Earth,0.142 AU,17.9 days,0.0,
3508,Super Earth,2014,3.78 Earths,1.77 x Earth,0.057 AU,4.9 days,0.0,
3509,Neptune-like,2014,5.99 Earths,0.207 x Jupiter,0.11 AU,13.1 days,0.0,
3510,Super Earth,2014,1.01 Earths,1.01 x Earth,0.027 AU,1.7 days,0.0,
3511,Super Earth,2014,3.43 Earths,1.67 x Earth,0.051 AU,4.3 days,0.0,
3512,Super Earth,2014,3.9 Earths,1.381 x Earth,0.02778 AU,1.7 days,< 0.095,
3513,Super Earth,2014,6.8 Earths,1.57 x Earth,0.0458 AU,3.6 days,< 0.095,
3514,Super Earth,2014,1.55 Earths,1.14 x Earth,0.05 AU,4.4 days,0.0,
3515,Neptune-like,2014,10.1 Earths,0.281 x Jupiter,0.26 AU,51.8 days,0.0,
3516,Super Earth,2021,4.81 Earths,2.039 x Earth,0.1074 AU,14 days,0.0,
3517,Neptune-like,2014,8.8 Earths,0.26 x Jupiter,0.053 AU,4.5 days,0.0,
3518,Neptune-like,2014,6.99 Earths,0.227 x Jupiter,0.105 AU,12.8 days,0.0,
3519,Neptune-like,2014,8.2 Earths,0.249 x Jupiter,0.22 AU,38.7 days,0.0,
3520,Super Earth,2014,0.14 Jupiters,1.52 x Earth,0.032 AU,2.2 days,0.0,
3521,Super Earth,2014,17.4 Earths,1.4 x Earth,0.051 AU,4.6 days,0.0,
3522,Super Earth,2014,6.9 Earths,1.21 x Earth,0.066 AU,6.8 days,0.0,
3523,Super Earth,2014,1.41 Earths,1.11 x Earth,0.029 AU,2.5 days,0.0,
3524,Super Earth,2014,20.3 Earths,1.03 x Earth,0.047 AU,5.2 days,0.0,
3525,Super Earth,2014,3.64 Earths,1.73 x Earth,0.09 AU,14 days,0.0,
3526,Super Earth,2013,28.5 Earths,0.205 x Jupiter,0.2199 AU,34.9 days,0.0,
3527,Gas Giant,2013,39.4 Earths,0.482 x Jupiter,0.354 AU,71.3 days,0.0,
3528,Super Earth,2014,2.54 Earths,1.4 x Earth,0.061 AU,7.4 days,0.0,
3529,Super Earth,2014,4.38 Earths,1.93 x Earth,0.113 AU,18.7 days,0.0,
3530,Gas Giant,2011,4.1 Jupiters,2.2 x Earth,0.05 AU,5.9 days,0.0,
3531,Neptune-like,2011,0.5 Jupiters,2.0 x Earth,0.09 AU,8.8 days,0.0,
3532,Neptune-like,2012,7.75 Earths,0.241 x Jupiter,0.13 AU,22.8 days,0.0,
3533,Super Earth,2012,2.86 Earths,1.5 x Earth,0.033 AU,2.9 days,0.0,
3534,Terrestrial,2012,0.477 Earths,0.82 x Earth,0.013 AU,0.7 days,0.0,
3535,Super Earth,2014,2.39 Earths,1.35 x Earth,0.075 AU,8.3 days,0.0,
3536,Super Earth,2014,4.46 Earths,1.95 x Earth,0.116 AU,16 days,0.0,
3537,Super Earth,2014,3.97 Earths,1.82 x Earth,0.065 AU,8.5 days,0.0,
3538,Super Earth,2014,4.04 Earths,1.84 x Earth,0.105 AU,17.3 days,0.0,
3539,Super Earth,2014,3.33 Earths,1.64 x Earth,0.159 AU,32.1 days,0.0,
3540,Super Earth,2014,1.71 Earths,1.17 x Earth,0.07 AU,7.6 days,0.0,
3541,Super Earth,2014,1.32 Earths,1.09 x Earth,0.114 AU,16 days,0.0,
3542,Super Earth,2014,1.76 Earths,1.18 x Earth,0.189 AU,34.2 days,0.0,
3543,Super Earth,2014,28.2 Earths,1.32 x Earth,0.087 AU,12.6 days,0.0,
3544,Super Earth,2014,1.41 Earths,1.11 x Earth,0.135 AU,24.1 days,0.0,
3545,Super Earth,2014,1.46 Earths,1.12 x Earth,0.061 AU,5.5 days,0.0,
3546,Super Earth,2014,2.63 Earths,1.43 x Earth,0.107 AU,12.8 days,0.0,
3547,Super Earth,2014,2.57 Earths,1.41 x Earth,0.168 AU,25.1 days,0.0,
3548,Neptune-like,2014,11.4 Earths,0.302 x Jupiter,0.075 AU,6.6 days,0.0,
3549,Neptune-like,2014,9.64 Earths,0.274 x Jupiter,0.356 AU,67.8 days,0.0,
3550,Super Earth,2014,1.04 Earths,1.02 x Earth,0.033 AU,2 days,0.0,
3551,Neptune-like,2014,5.06 Earths,2.1 x Earth,0.092 AU,9.6 days,0.0,
3552,Neptune-like,2014,6.21 Earths,0.211 x Jupiter,0.154 AU,20.7 days,0.0,
3553,Super Earth,2014,2.99 Earths,1.54 x Earth,0.045 AU,3.3 days,0.0,
3554,Super Earth,2014,4.86 Earths,2.05 x Earth,0.093 AU,9.7 days,0.0,
3555,Super Earth,2014,30.6 Earths,0.218 x Jupiter,0.117 AU,13.7 days,0.04,
3556,Neptune-like,2014,6.08 Earths,0.209 x Jupiter,0.172 AU,24.3 days,0.03,
3557,Neptune-like,2014,9.27 Earths,0.268 x Jupiter,0.257 AU,44.4 days,0.03,
3558,Super Earth,2014,8.5 Earths,1.56 x Earth,0.0893 AU,9.3 days,0.05,Transit Timing Variations
3559,Super Earth,2014,2.6 Earths,1.42 x Earth,0.055 AU,5 days,0.0,
3560,Super Earth,2014,7.3 Earths,1.15 x Earth,0.069 AU,7 days,0.0,
3561,Super Earth,2014,14.7 Earths,1.17 x Earth,0.091 AU,10.6 days,0.0,
3562,Super Earth,2011,3.68 Earths,1.74 x Earth,0.0677 AU,5.7 days,0.0,
3563,Terrestrial,2011,0.39 Earths,0.285 x Jupiter,0.1189 AU,13.2 days,0.0,
3564,Neptune-like,2011,3.91 Earths,0.477 x Jupiter,0.1662 AU,21.8 days,0.0,
3565,Neptune-like,2011,5.57 Earths,0.359 x Jupiter,0.2138 AU,31.8 days,0.0,
3566,Neptune-like,2011,9.6 Earths,0.398 x Jupiter,0.2535 AU,41 days,0.0,
3567,Neptune-like,2014,6.94 Earths,0.226 x Jupiter,0.134 AU,14.8 days,0.0,
3568,Neptune-like,2014,11.3 Earths,0.301 x Jupiter,0.178 AU,22.8 days,0.0,
3569,Super Earth,2014,1.76 Earths,1.18 x Earth,0.06 AU,5.2 days,0.0,
3570,Super Earth,2014,3.53 Earths,1.7 x Earth,0.08 AU,8 days,0.0,
3571,Super Earth,2014,4.08 Earths,1.85 x Earth,0.182 AU,27.7 days,0.0,
3572,Super Earth,2014,4.62 Earths,1.99 x Earth,0.242 AU,42.5 days,0.0,
3573,Neptune-like,2014,5.69 Earths,0.201 x Jupiter,0.128 AU,15.2 days,0.0,
3574,Super Earth,2014,4.5 Earths,1.96 x Earth,0.185 AU,26.2 days,0.0,
3575,Neptune-like,2014,6.76 Earths,0.222 x Jupiter,0.242 AU,39.5 days,0.0,
